datetime,open,high,low,close,volume
2025-06-13 20:00:00,105115.00000000,105170.00000000,105085.00000000,105170.00000000,105170000.00000000
2025-06-13 20:30:00,105142.00000000,105325.00000000,105142.00000000,105291.00000000,105291000.00000000
2025-06-13 21:00:00,105316.00000000,105412.00000000,105316.00000000,105365.00000000,105365000.00000000
2025-06-13 21:30:00,105427.00000000,105441.00000000,105400.00000000,105441.00000000,105441000.00000000
2025-06-13 22:00:00,105521.00000000,105722.00000000,105521.00000000,105647.00000000,105647000.00000000
2025-06-13 22:30:00,105647.00000000,105791.00000000,105647.00000000,105726.00000000,105726000.00000000
2025-06-13 23:00:00,105696.00000000,105796.00000000,105633.00000000,105796.00000000,105796000.00000000
2025-06-13 23:30:00,105807.00000000,105896.00000000,105807.00000000,105896.00000000,105896000.00000000
2025-06-14 00:00:00,105907.00000000,106060.00000000,105907.00000000,106046.00000000,106046000.00000000
2025-06-14 00:30:00,106069.00000000,106069.00000000,105961.00000000,105961.00000000,105961000.00000000
2025-06-14 01:00:00,105898.00000000,106033.00000000,105888.00000000,106033.00000000,106033000.00000000
2025-06-14 01:30:00,105803.00000000,105803.00000000,105531.00000000,105586.00000000,105586000.00000000
2025-06-14 02:00:00,105571.00000000,105577.00000000,105552.00000000,105552.00000000,105552000.00000000
2025-06-14 02:30:00,105525.00000000,105541.00000000,105490.00000000,105541.00000000,105541000.00000000
2025-06-14 03:00:00,105488.00000000,105488.00000000,105385.00000000,105399.00000000,105399000.00000000
2025-06-14 03:30:00,105411.00000000,105411.00000000,105329.00000000,105342.00000000,105342000.00000000
2025-06-14 04:00:00,105371.00000000,105407.00000000,105302.00000000,105302.00000000,105302000.00000000
2025-06-14 04:30:00,105293.00000000,105362.00000000,105293.00000000,105346.00000000,105346000.00000000
2025-06-14 05:00:00,105367.00000000,105405.00000000,105358.00000000,105373.00000000,105373000.00000000
2025-06-14 05:30:00,105387.00000000,105387.00000000,105328.00000000,105344.00000000,105344000.00000000
2025-06-14 06:00:00,105353.00000000,105388.00000000,105325.00000000,105380.00000000,105380000.00000000
2025-06-14 06:30:00,105357.00000000,105357.00000000,105191.00000000,105191.00000000,105191000.00000000
2025-06-14 07:00:00,105194.00000000,105222.00000000,105193.00000000,105198.00000000,105198000.00000000
2025-06-14 07:30:00,105178.00000000,105178.00000000,104952.00000000,104952.00000000,104952000.00000000
2025-06-14 08:00:00,104997.00000000,105151.00000000,104997.00000000,105104.00000000,105104000.00000000
2025-06-14 08:30:00,105107.00000000,105107.00000000,104953.00000000,104997.00000000,104997000.00000000
2025-06-14 09:00:00,105006.00000000,105103.00000000,104968.00000000,105103.00000000,105103000.00000000
2025-06-14 09:30:00,105123.00000000,105123.00000000,105069.00000000,105104.00000000,105104000.00000000
2025-06-14 10:00:00,105086.00000000,105086.00000000,104928.00000000,104928.00000000,104928000.00000000
2025-06-14 10:30:00,104925.00000000,104961.00000000,104922.00000000,104961.00000000,104961000.00000000
2025-06-14 11:00:00,105001.00000000,105069.00000000,105001.00000000,105039.00000000,105039000.00000000
2025-06-14 11:30:00,105043.00000000,105076.00000000,105019.00000000,105076.00000000,105076000.00000000
2025-06-14 12:00:00,105059.00000000,105074.00000000,105024.00000000,105074.00000000,105074000.00000000
2025-06-14 12:30:00,105137.00000000,105137.00000000,104997.00000000,104997.00000000,104997000.00000000
2025-06-14 13:00:00,104957.00000000,104974.00000000,104941.00000000,104962.00000000,104962000.00000000
2025-06-14 13:30:00,105107.00000000,105107.00000000,104965.00000000,104965.00000000,104965000.00000000
2025-06-14 14:00:00,104948.00000000,105018.00000000,104948.00000000,104993.00000000,104993000.00000000
2025-06-14 14:30:00,105058.00000000,105079.00000000,105056.00000000,105056.00000000,105056000.00000000
2025-06-14 15:00:00,105052.00000000,105052.00000000,104939.00000000,104953.00000000,104953000.00000000
2025-06-14 15:30:00,104960.00000000,104983.00000000,104960.00000000,104981.00000000,104981000.00000000
2025-06-14 16:00:00,104955.00000000,104955.00000000,104785.00000000,104851.00000000,104851000.00000000
2025-06-14 16:30:00,104841.00000000,104873.00000000,104830.00000000,104830.00000000,104830000.00000000
2025-06-14 17:00:00,104797.00000000,104797.00000000,104536.00000000,104536.00000000,104536000.00000000
2025-06-14 17:30:00,104510.00000000,104665.00000000,104510.00000000,104665.00000000,104665000.00000000
2025-06-14 18:00:00,104703.00000000,104703.00000000,104596.00000000,104603.00000000,104603000.00000000
2025-06-14 18:30:00,104622.00000000,104866.00000000,104622.00000000,104740.00000000,104740000.00000000
2025-06-14 19:00:00,104688.00000000,104688.00000000,104461.00000000,104565.00000000,104565000.00000000
2025-06-14 19:30:00,104709.00000000,105006.00000000,104709.00000000,104999.00000000,104999000.00000000
